time,frame_type,path_id,frame_size,ack_delay,acked_ranges,largest_acked,destination_connection_id,mp_ack_ranges,relative_time,time_bucket
7896.446,mp_ack,0,16,0.036,1,0,,0.0,7.8885706786,7
7927.895,mp_ack,0,16,0.036,1,0,,0.0,7.920019678600001,7
7960.1973,mp_ack,0,16,0.036,1,0,,0.0,7.9523219786,7
7987.74,mp_ack,0,16,0.037,1,0,,0.0,7.9798646786,7
8019.8335,mp_ack,0,16,0.041,1,0,,0.0,8.0119581786,7
8056.1294,mp_ack,0,16,0.037,1,0,,0.0,8.0482540786,7
8087.025,mp_ack,0,16,0.038,1,0,,0.0,8.0791496786,7
8118.886,mp_ack,0,16,0.04,1,0,,0.0,8.111010678600001,7
8151.9136,mp_ack,0,16,0.036,1,0,,0.0,8.1440382786,7
8178.522,mp_ack,0,16,0.039,1,0,,0.0,8.1706466786,7
8211.999,mp_ack,0,16,0.033,1,0,,0.0,8.204123678599998,7
8245.458,mp_ack,0,16,0.036,1,0,,0.0,8.237582678599999,7
8274.619,mp_ack,0,16,0.036,1,0,,0.0,8.2667436786,7
8315.968,mp_ack,0,16,0.036,1,0,,0.0,8.3080926786,7
8344.455,mp_ack,0,16,0.032,1,0,,0.0,8.3365796786,7
8372.213,mp_ack,0,16,0.037,1,0,,0.0,8.364337678599998,7
8402.916,mp_ack,0,16,0.039,1,0,,0.0,8.3950406786,7
8442.152,mp_ack,0,16,0.04,1,0,,0.0,8.4342766786,7
8478.764,mp_ack,0,16,0.035,1,0,,0.0,8.470888678599998,7
8519.07,mp_ack,0,16,0.033,1,0,,0.0,8.511194678599999,7
8550.948,mp_ack,0,16,0.035,1,0,,0.0,8.5430726786,7
8582.02,mp_ack,0,16,0.05,1,0,,0.0,8.5741446786,7
8611.918,mp_ack,0,16,0.039,1,0,,0.0,8.604042678599999,7
8651.92,mp_ack,0,16,0.042,1,0,,0.0,8.644044678599998,7
8687.771,mp_ack,0,16,0.035,1,0,,0.0,8.6798956786,7
8716.161,mp_ack,0,16,0.033,1,0,,0.0,8.7082856786,7
8746.133,mp_ack,0,16,0.033,1,0,,0.0,8.738257678599998,7
8773.498,mp_ack,0,16,0.045,1,0,,0.0,8.765622678599998,7
8805.166,mp_ack,0,16,0.036,1,0,,0.0,8.797290678599998,8
8835.673,mp_ack,0,16,0.056,1,0,,0.0,8.8277976786,8
8865.926,mp_ack,0,16,0.038,1,0,,0.0,8.858050678599998,8
8896.676,mp_ack,0,16,0.036,1,0,,0.0,8.8888006786,8
8924.598,mp_ack,0,16,0.032,1,0,,0.0,8.9167226786,8
8954.914,mp_ack,0,16,0.036,1,0,,0.0,8.9470386786,8
8989.095,mp_ack,0,16,0.045,1,0,,0.0,8.981219678599999,8
9022.526,mp_ack,0,16,0.111,1,0,,0.0,9.014650678599999,8
9054.073,mp_ack,0,16,0.049,1,0,,0.0,9.046197678599999,8
9088.682,mp_ack,0,16,0.036,1,0,,0.0,9.0808066786,8
9122.716,mp_ack,0,16,0.031,1,0,,0.0,9.1148406786,8
9154.9375,mp_ack,0,16,0.033,1,0,,0.0,9.147062178599999,8
9183.46,mp_ack,0,16,0.043,1,0,,0.0,9.175584678599998,8
9217.977,mp_ack,0,16,0.063,1,0,,0.0,9.2101016786,8
9256.85,mp_ack,0,16,0.034,1,0,,0.0,9.2489746786,8
9284.777,mp_ack,0,16,0.043,1,0,,0.0,9.2769016786,8
9313.898,mp_ack,0,16,0.047,1,0,,0.0,9.306022678599998,8
9353.207,mp_ack,0,16,0.035,1,0,,0.0,9.3453316786,8
9383.357,mp_ack,0,16,0.04,1,0,,0.0,9.3754816786,8
9413.379,mp_ack,0,16,0.065,1,0,,0.0,9.4055036786,8
9437.623,mp_ack,0,16,0.049,1,0,,0.0,9.429747678599998,8
9474.192,mp_ack,0,16,0.039,1,0,,0.0,9.466316678599998,8
9502.716,mp_ack,0,16,0.041,1,0,,0.0,9.4948406786,8
9535.394,mp_ack,0,16,0.038,1,0,,0.0,9.5275186786,8
9567.8125,mp_ack,0,16,0.037,1,0,,0.0,9.559937178599998,8
9596.61,mp_ack,0,16,0.036,1,0,,0.0,9.5887346786,8
9633.862,mp_ack,0,16,0.043,1,0,,0.0,9.625986678599999,8
9667.841,mp_ack,0,16,0.04,1,0,,0.0,9.659965678599999,8
9705.614,mp_ack,0,16,0.031,1,0,,0.0,9.697738678599999,8
9734.884,mp_ack,0,16,0.037,1,0,,0.0,9.727008678599999,8
9768.368,mp_ack,0,16,0.033,1,0,,0.0,9.7604926786,8
9800.928,mp_ack,0,16,0.042,1,0,,0.0,9.793052678599999,8
9829.411,mp_ack,0,16,0.039,1,0,,0.0,9.8215356786,8
9862.317,mp_ack,0,16,0.05,1,0,,0.0,9.854441678599999,8
9894.005,mp_ack,0,16,0.041,1,0,,0.0,9.886129678599998,9
9926.216,mp_ack,0,16,0.043,1,0,,0.0,9.9183406786,9
9959.686,mp_ack,0,16,0.033,1,0,,0.0,9.9518106786,9
9990.9795,mp_ack,0,16,0.035,1,0,,0.0,9.983104178599998,9
10020.569,mp_ack,0,16,0.033,1,0,,0.0,10.012693678599998,9
10053.785,mp_ack,0,16,0.04,1,0,,0.0,10.0459096786,9
10088.939,mp_ack,0,16,0.034,1,0,,0.0,10.0810636786,9
10121.616,mp_ack,0,16,0.038,1,0,,0.0,10.1137406786,9
10150.332,mp_ack,0,16,0.041,1,0,,0.0,10.1424566786,9
10189.355,mp_ack,0,16,0.033,1,0,,0.0,10.181479678599999,9
10216.617,mp_ack,0,16,0.045,1,0,,0.0,10.2087416786,9
